,pts,pts_from,year,points_to
1,7,Yugoslavia,1989,israel
2,7,Ireland,1989,israel
3,5,Finland,1989,israel
4,5,Iceland,1989,israel
5,5,Denmark,1989,israel
6,5,Sweden,1989,israel
7,3,The Netherlands,1989,israel
8,3,Germany,1989,israel
9,2,United Kingdom,1989,israel
10,1,Italy,1989,israel
11,50,points received,1989,israel
0,8,Spain,1989,portugal
1,7,Luxembourg,1989,portugal
2,6,Austria,1989,portugal
3,6,Greece,1989,portugal
4,4,Turkey,1989,portugal
5,3,Sweden,1989,portugal
6,2,Belgium,1989,portugal
7,2,Finland,1989,portugal
8,1,Norway,1989,portugal
9,39,points received,1989,portugal
0,8,Belgium,1989,norway
1,6,Denmark,1989,norway
2,5,Turkey,1989,norway
3,4,France,1989,norway
4,2,Israel,1989,norway
5,2,The Netherlands,1989,norway
6,2,Sweden,1989,norway
7,1,Switzerland,1989,norway
8,30,points received,1989,norway
0,10,Turkey,1989,finland
1,10,Israel,1989,finland
2,10,France,1989,finland
3,10,Yugoslavia,1989,finland
4,8,Ireland,1989,finland
5,7,Spain,1989,finland
6,6,The Netherlands,1989,finland
7,4,Luxembourg,1989,finland
8,4,Sweden,1989,finland
9,3,Cyprus,1989,finland
10,3,Austria,1989,finland
11,1,Portugal,1989,finland
12,76,points received,1989,finland
0,12,Spain,1989,italy
1,10,Finland,1989,italy
2,8,Yugoslavia,1989,italy
3,7,Germany,1989,italy
4,7,Portugal,1989,italy
5,6,Cyprus,1989,italy
6,4,Greece,1989,italy
7,2,Switzerland,1989,italy
8,56,points received,1989,italy
0,12,Switzerland,1989,greece
1,12,Cyprus,1989,greece
2,10,Portugal,1989,greece
3,6,Norway,1989,greece
4,5,United Kingdom,1989,greece
5,4,Iceland,1989,greece
6,4,Spain,1989,greece
7,1,Belgium,1989,greece
8,1,France,1989,greece
9,1,The Netherlands,1989,greece
10,56,points received,1989,greece
0,10,Switzerland,1989,spain
1,10,Luxembourg,1989,spain
2,10,Greece,1989,spain
3,10,Germany,1989,spain
4,8,Finland,1989,spain
5,8,France,1989,spain
6,8,Italy,1989,spain
7,7,United Kingdom,1989,spain
8,7,Belgium,1989,spain
9,4,Cyprus,1989,spain
10,4,Norway,1989,spain
11,2,Turkey,1989,spain
12,88,points received,1989,spain
0,12,Ireland,1989,yugoslavia
1,12,Turkey,1989,yugoslavia
2,12,Israel,1989,yugoslavia
3,12,United Kingdom,1989,yugoslavia
4,10,Denmark,1989,yugoslavia
5,10,Belgium,1989,yugoslavia
6,10,Austria,1989,yugoslavia
7,8,The Netherlands,1989,yugoslavia
8,8,Sweden,1989,yugoslavia
9,7,Norway,1989,yugoslavia
10,7,Finland,1989,yugoslavia
11,6,Iceland,1989,yugoslavia
12,5,Luxembourg,1989,yugoslavia
13,5,Switzerland,1989,yugoslavia
14,5,Cyprus,1989,yugoslavia
15,4,Portugal,1989,yugoslavia
16,3,France,1989,yugoslavia
17,1,Germany,1989,yugoslavia
18,137,points received,1989,yugoslavia
